Start: 1710135614594, Latency: 485, Request Type: POST, Response Code: 201
Start: 1710135614594, Latency: 581, Request Type: POST, Response Code: 201
Start: 1710135614594, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135614594, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135614594, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135614594, Latency: 583, Request Type: POST, Response Code: 201
Start: 1710135614595, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135614595, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135614595, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135614596, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135614599, Latency: 580, Request Type: POST, Response Code: 201
Start: 1710135614601, Latency: 579, Request Type: POST, Response Code: 201
Start: 1710135614602, Latency: 578, Request Type: POST, Response Code: 201
Start: 1710135614604, Latency: 576, Request Type: POST, Response Code: 201
Start: 1710135614605, Latency: 575, Request Type: POST, Response Code: 201
Start: 1710135614605, Latency: 576, Request Type: POST, Response Code: 201
Start: 1710135614606, Latency: 575, Request Type: POST, Response Code: 201
Start: 1710135614606, Latency: 578, Request Type: POST, Response Code: 201
Start: 1710135614606, Latency: 578, Request Type: POST, Response Code: 201
Start: 1710135614607, Latency: 578, Request Type: POST, Response Code: 201
Start: 1710135614608, Latency: 578, Request Type: POST, Response Code: 201
Start: 1710135614608, Latency: 578, Request Type: POST, Response Code: 201
Start: 1710135614610, Latency: 576, Request Type: POST, Response Code: 201
Start: 1710135614610, Latency: 577, Request Type: POST, Response Code: 201
Start: 1710135614610, Latency: 577, Request Type: POST, Response Code: 201
Start: 1710135614612, Latency: 578, Request Type: POST, Response Code: 201
Start: 1710135614612, Latency: 579, Request Type: POST, Response Code: 201
Start: 1710135614612, Latency: 579, Request Type: POST, Response Code: 201
Start: 1710135614613, Latency: 580, Request Type: POST, Response Code: 201
Start: 1710135614614, Latency: 579, Request Type: POST, Response Code: 201
Start: 1710135614615, Latency: 579, Request Type: POST, Response Code: 201
Start: 1710135614613, Latency: 582, Request Type: POST, Response Code: 201
Start: 1710135615084, Latency: 113, Request Type: POST, Response Code: 201
Start: 1710135615175, Latency: 79, Request Type: POST, Response Code: 201
Start: 1710135615176, Latency: 78, Request Type: POST, Response Code: 201
Start: 1710135615180, Latency: 74, Request Type: POST, Response Code: 201
Start: 1710135615182, Latency: 79, Request Type: POST, Response Code: 201
Start: 1710135615182, Latency: 80, Request Type: POST, Response Code: 201
Start: 1710135615183, Latency: 80, Request Type: POST, Response Code: 201
Start: 1710135615183, Latency: 82, Request Type: POST, Response Code: 201
Start: 1710135615184, Latency: 82, Request Type: POST, Response Code: 201
